Rank,Performance,Wind,Athlete,Age,Country,Location,Date
217,11.23,(1.2),Gogi Rai,31,AUS,"Brisbane, AU-QL, AUS",1 Apr 22 - 4 Apr 22
217,11.23,(-1.6),Ousmane Bailou,30,BUR,"Bobo-Dioulasso, BUR",2 Jul 22 - 3 Jul 22
221,11.24,(+3.2),Dominique Mendes,33,FRA,"Villejuif, FRA",30 Apr 22
221,11.24,(2.7),Nathan Johnson,31,USA,"Naperville, IL, USA",13 May 22 - 14 May 22
221,11.24,(+2.7),Ville Kattelus,30,FIN,"Joensuu, FIN",4 Aug 22 - 7 Aug 22
221,11.24,(-1.4),Damian Czykier,30,POL,"Karpacz , POL",27 Aug 22
225,11.25,(1.6 ),Ethan Mignard,33,USA,"Weston, MA, USA",30 Jul 22
225,11.25,(+0.9),Yannick Martin,31,FRA,"Venissieux, FRA",13 May 22
227,11.27,(3.2 ),Justo Daniel Arce,33,ARG,"San Luis, ARG",29 Sep 22 - 2 Oct 22
227,11.27,(+0.2),Marius Vadeikis,32,LTU,"Šiauliai, LTU",10 Jun 22 - 11 Jun 22
227,11.27,(0.7 ),Julian Opitz,30,GER,"Dillingen, GER",16 Jul 22
227,11.27,(+1.1),Paweł Gadżała,30,POL,"Częstochowa, POL",9 Jul 22
227,11.27,(-0.1),Matthias Steinmann,30,SUI,"Kreuzlingen, SUI",18 Jun 22 - 19 Jun 22
232,11.28,(+0.7),Vicente Guardiola,30,ESP,"Nerja, ESP",24 Jun 22 - 26 Jun 22
233,11.29,(2.7 ),Josh Steyn-Ross,34,AUS,"Geelong, AU-VI, AUS",17 Dec 22
233,11.29,(-0.9 ),Oliver Grant,31,CAN,"Arva, ON, CAN",18 Jul 22
235,11.30,(-0.4),Nick Ekelund Arenander,33,SWE,"Tårnby, DEN",16 Aug 22
235,11.30,(+1.9),Samir Demnati,33,FIN,"Kankaanpää, FIN",19 Jul 22 - 20 Jul 22
237,11.32,(+0.7),Javier Pérez,34,ESP,"Nerja, ESP",24 Jun 22 - 26 Jun 22
237,11.32,(+0.7),Jeroen Piek,32,NED,"Leiden, NED",11 Jun 22
237,11.32,(+1.0),Sebastian Groß,31,GER,"Mannheim, GER",2 Jul 22 - 3 Jul 22
237,11.32,(0.0 ),Lachlan Parry,30,AUS,"Maitland, AU-NS, AUS",21 Jan 22 - 23 Jan 22
237,11.32,(-0.2 ),Niels Pittomvils,30,BEL,"München, GER",15 Aug 22 - 21 Aug 22
242,11.33,(-0.4),Andrew Pedrana,30,AUS,"Sydney, AU-NS, AUS",30 Mar 22 - 3 Apr 22
242,11.33,(-0.6 ),Raul Augusto Saavedra Calvo,30,CRC,"San José, CRC",17 Sep 22 - 18 Sep 22
242,11.33,(-0.5),Marius Florin Serban,30,ROU,"Craiova, ROU",24 Jun 22 - 26 Jun 22
245,11.34,(+1.1),Zakaria El Maattal,33,FRA,"Chalons En Champagne, FRA",22 Jun 22
245,11.34,(-0.2 ),Chevan Clarke,32,RSA,"Green Point, Cape Town, WC, RSA",28 May 22
245,11.34,(+0.6),Jackson Walker,30,USA,"Fayetteville, AR, USA",6 May 22 - 7 May 22
248,11.35,(1.4 ),Gurpreet Rai,31,AUS,"Albert Park, AU-VI, AUS",19 Mar 22 - 20 Mar 22
248,11.35,( NWI),José Gregorio Lemus,30,COL,"Bogotá, COL",6 May 22 - 8 May 22
250,11.36,"(+2,5)",Oskari Leppänen,33,FIN,"Porvoo, FIN",10 Jul 22
250,11.36,(+0.9),Armen-Maoulida Abdou,32,FRA,"Notre Dame de Gravenchon, FRA",9 Jul 22
250,11.36,(+2.1),Bjarni Páll Pálsson,31,ISL,"Hafnarfjördur, ISL",25 Jun 22 - 26 Jun 22
250,11.36,(+1.6),Yevgeniy Chernov,30,RUS,"Cheboksary, RUS",2 Aug 22 - 5 Aug 22
254,11.37,(+2.1),Mathias Olsen,31,DEN,"Frederiksberg, DEN",23 Aug 22
255,11.38,(NWI ),Willem de Beer,34,RSA,"Pretoria, G, RSA",5 May 22 - 7 May 22
255,11.38,(+3.7),Gilbert Koech,32,KEN,"St Pierre, MRI",8 Jun 22 - 12 Jun 22
255,11.38,(+1.7),Axel Cortet,31,FRA,"Saran, FRA",11 Jun 22 - 12 Jun 22
255,11.38,(+1.5),Marcus Nilsson,31,SWE,"Talence, FRA",17 Sep 22 - 18 Sep 22
255,11.38,(+1.7),Jorge Luis Castillo Vega,30,PAN,"Managua, NCA",2 Jul 22 - 3 Jul 22
260,11.39,(+0.2),Attila Baranyay,34,AUS,"Canberra, AU-AC, AUS",28 Jan 22 - 30 Jan 22
260,11.39,(0.0),Pál Gönczi,30,HUN,"Budapest, HUN",24 Jun 22 - 26 Jun 22
262,11.40,(+1.1),Christoph Ewinger,31,GER,"Filderstadt, GER",27 Aug 22 - 28 Aug 22
262,11.40,(+2.4),Mattia Crivellaro,31,ITA,"Vicenza, ITA",6 Aug 22
262,11.40,(+0.1),Yoane Mboungou,30,FRA,"Saint Etienne, FRA",5 Jun 22
265,11.41,(+2.7),Petri Lemmetyinen,33,FIN,"Joensuu, FIN",4 Aug 22 - 7 Aug 22
266,11.42,(+1.6),Yevgeniy Sarantsev,34,RUS,"Cheboksary, RUS",2 Aug 22 - 5 Aug 22
266,11.42,(1.2),Brendan Ashcroft,31,AUS,"Brisbane, AU-QL, AUS",1 Apr 22 - 4 Apr 22
266,11.42,(+1.4),Mikel de Sa,31,AND,"LA Nucia, ESP",20 May 22 - 22 May 22
269,11.44,(+1.3),Samuel Jeannes,34,FRA,"Bouaye, FRA",16 Apr 22 - 17 Apr 22
269,11.44,(+2.2),Bastien Auzeil,32,FRA,"Montpellier, FRA",4 Jun 22 - 5 Jun 22
269,11.44,(+3.0),Jakub Sobiech,32,POL,"Toruń, POL",16 Jun 22
269,11.44,(+0.9),Blaž Brulc,30,SLO,"Maribor, SLO",14 Jun 22
273,11.46,(NWI),Nikbaf Abbas,32,IRI,"Mashhad, IRI",29 May 22 - 30 May 22
273,11.46,(NWI),Garren Hendricks,32,USA,"Topeka, KS, USA",8 Jul 22 - 9 Jul 22
273,11.46,(1.4),Hazir Inoussa,32,FRA,"Nice, FRA",15 Jun 22
273,11.46,(0.6),Jelani Knight,30,USA,"New Brunswick, NJ, USA",24 Jun 22 - 26 Jun 22
273,11.46,(+2.0),Tommi Eerola,30,FIN,"Kotka, FIN",20 Jul 22
278,11.47,(+0.6),Mathew Clark,34,USA,"Fayetteville, AR, USA",6 May 22 - 7 May 22
278,11.47,(0.0 ),Tim Eschebach,33,AUS,"Maitland, AU-NS, AUS",21 Jan 22 - 23 Jan 22
278,11.47,(+0.7),Eric Rossell,31,ESP,"Nerja, ESP",24 Jun 22 - 26 Jun 22
278,11.47,(+0.8),Jean-Michel Morin,31,FRA,"Ocquerre, FRA",29 May 22
282,11.48,"(+0,6)",Paul-Louis O'Rock,33,NOR,"Oslo/Bi, NOR",30 Jun 22
282,11.48,(+2.7),Julien Payeux,32,FRA,"Lens, FRA",19 Jun 22
284,11.50,(+2.2),Benjamin Fenrich,31,FRA,"Montpellier, FRA",4 Jun 22 - 5 Jun 22
284,11.50,(+0.0),Charles Roth,31,FRA,"Troyes, FRA",30 Apr 22
284,11.50,(0.6),Antoine Nourazar,30,FRA,"Yverdon-Les-Bains, SUI",1 Oct 22
287,11.51,(-1.2),Mihai Lucian Stramb,32,ROU,"Craiova, ROU",24 Jun 22 - 26 Jun 22
287,11.51,(NWI),Teran Wakefield,31,USA,"Leesburg, VA, USA",28 May 22
287,11.51,(-1.1),Bartosz Dudek,30,POL,"Warszawa, POL",18 Jun 22 - 19 Jun 22
290,11.52,(+0.6),Jeremie Altbiess,34,FRA,"Strasbourg, FRA",18 Jun 22
290,11.52,(+0.7),Pierre Ratineau Mace,33,FRA,"LA Fleche, FRA",8 Jul 22
290,11.52,(+2.2),Aurelien Lantsoght,32,FRA,"Neuves Maisons, FRA",23 Apr 22
290,11.52,(+2.7),Otto Ylöstalo,31,FIN,"Joensuu, FIN",4 Aug 22 - 7 Aug 22
294,11.53,(3.2 ),Facundo Gabriel Pettina,30,ARG,"San Luis, ARG",29 Sep 22 - 2 Oct 22
295,11.54,(-0.5 ),Marco Lamaina,32,ITA,"Montebelluna, ITA",13 Jul 22
295,11.54,(-4.2 ),Maxime Beauchesne,31,CAN,"Den Haag, NED",23 Jul 22 - 28 Jul 22
297,11.55,(+2.4),Clement Paillarguelo,32,FRA,"L'etang Sale, FRA",21 May 22 - 22 May 22
297,11.55,(-0.2),Shamar McKen,31,USA,"Tampa, FL, USA",27 May 22
299,11.56,(+0.0),Pierre Houdayer,33,FRA,"Limoges, FRA",15 Jun 22
300,11.57,(NWI),Esteban Garcia,33,USA,"New Britain, CT, USA",9 Jul 22
301,11.58,(2.2 ),Samuel Heymans,32,BEL,"Nivelles, BEL",30 Apr 22
301,11.58,(NWI ),Jean-Pierre Kitshoff,30,RSA,"Pretoria, G, RSA",5 May 22 - 7 May 22
301,11.58,(-1.5),Arthur Bizet,30,FRA,"Noisy Le Grand, FRA",14 May 22 - 15 May 22
301,11.58,"(–1,0)",Ilpo Kantanen,30,FIN,"Keuruu, FIN",24 Jun 22
305,11.59,(+3.0),Łukasz Tylak,32,POL,"Toruń, POL",16 Jun 22
305,11.59,(+3.2),Michael Noes Andersen,31,DEN,"Hvidovre, DEN",28 May 22
305,11.59,(1.7 ),Reyor Ko,31,SIN,"Gold Coast, AU-QL, AUS",5 Nov 22 - 7 Nov 22
305,11.59,(-0.8),Briander Riveiro,30,CUB,"LA Habana, CUB",18 Mar 22 - 20 Mar 22
305,11.59,(-0.9),Sebastian Demski,30,POL,"Warszawa, POL",23 Jul 22
310,11.60,(+0.8),Quentin Zebiri,32,FRA,"Marquette Lez Lille, FRA",6 Jul 22
310,11.60,(+1.3),Guillaume Fleuter,32,FRA,"Caen, FRA",8 May 22
312,11.61,(-1.1),Maksim Korolyov,34,RUS,"Cheboksary, RUS",2 Aug 22 - 5 Aug 22
312,11.61,(0.2 ),Ta'Masz Bailey,31,USA,"Eugene, OR, USA",7 May 22
312,11.61,(+1.0),Kevin Akhmysse,30,FRA,"Deuil LA Barre, FRA",29 Jun 22
315,11.62,(-2.5),Michael Bowler,30,IRL,"Carlow, IRL",28 May 22 - 29 May 22
316,11.65,(-1.9 ),Saravee Sos,31,NZL,"Wellington, NZL",2 Dec 22 - 4 Dec 22
316,11.65,(0.1),Tyler Powell,30,USA,"Lexington, KY, USA",28 Jul 22 - 31 Jul 22
316,11.65,(-0.3 ),Keisuke Sumita,30,JPN,"Gunma, JPN",11 Sep 22
319,11.66,(-0.1 ),Arturo Durán Mena,33,CHI,"Bogotá, COL",20 Nov 22 - 27 Nov 22
319,11.66,(+0.6),Vincent Regent,33,FRA,"Chalon Sur Saone, FRA",22 May 22
319,11.66,(+2.9),Florent Seyer,31,FRA,"Dax, FRA",4 Jun 22
319,11.66,(0.0 ),Bobby Lewis,30,USA,"Falls Church, VA, USA",16 Jul 22
323,11.67,(-0.3),Lyes Belkhiari,34,ALG,"Tours, FRA",30 Apr 22 - 1 May 22
323,11.67,(NWI),Callen Schwank,31,USA,"Lincoln, NE, USA",16 Jul 22
323,11.67,(+2.0),Erwan Le Rolland,31,FRA,"Antony, FRA",28 May 22
326,11.68,(-0.8),Lukáš Lehocký,33,CZE,"Olomouc, CZE",8 May 22
326,11.68,(-2.1 ),Strimb Mihai,32,ROU,"Craiova, ROU",4 Jun 22 - 5 Jun 22
328,11.69,(-0.2 ),Ryle de Morny,33,RSA,"Green Point, Cape Town, WC, RSA",28 May 22
328,11.69,(0.8 ),Yuta Yamaguchi,33,JPN,"Kariya, JPN",21 Aug 22
328,11.69,(1.4),Nate Scales,31,USA,"New Brunswick, NJ, USA",24 Jun 22 - 26 Jun 22
328,11.69,(NWI),Jesús Armando Marquez L,30,MEX,"Mérida, MEX",4 May 22 - 8 May 22
332,11.70,( NWI),Alexandrew Hintzen,33,USA,"Miami, FL, USA",23 Apr 22
333,11.73,(+3.2),Tibo Drouet,33,FRA,"Toulon, FRA",9 Jul 22
333,11.73,(-0.5 ),Matthew Wyatt,31,NZL,"Hastings, NZL",3 Mar 22 - 6 Mar 22
333,11.73,(1.4),Dominik Löffel,31,SUI,"Langenthal, SUI",26 May 22
333,11.73,( ),Kaya Chihungi,30,AUT,"St. Pölten, AUT",26 May 22
337,11.74,(2.0 ),Nicolas Nemouthe,33,FRA,"Aulnay sous Bois, FRA",28 May 22 - 29 May 22
337,11.74,(+0.8),Wilfried Jabot,32,FRA,"Deuil LA Barre, FRA",29 Jun 22
337,11.74,"(+1,1)",Imran Mahmood,30,NOR,"Lillehammer, NOR",19 Jun 22
340,11.75,(1.4 ),Andrew Godin,33,AUS,"Albert Park, AU-VI, AUS",19 Mar 22 - 20 Mar 22
341,11.76,(+0.0),Hakim Lakhlef,32,FRA,"Albertville, FRA",10 Jun 22
341,11.76,(-0.2),Baptiste Chateau,31,FRA,"Chateauroux, FRA",22 May 22
343,11.77,(+1.4),Frederik Regli,32,DEN,"Frederiksberg, DEN",23 Aug 22
343,11.77,(-1.2 ),Daniel Andersson,31,SWE,"Arvika, SWE",23 Jul 22 - 24 Jul 22
343,11.77,(2.3 ),Greg Mitchell,31,AUS,"Geelong, AU-VI, AUS",8 Oct 22
346,11.79,(+0.5),Jaakob Kakko,33,FIN,"Turku, FIN",20 Jul 22
347,11.80,"(+1,1)",Øyvind Bu,34,NOR,"Fana, NOR",29 May 22
347,11.80,(+3.5),Durante' Ponder,33,BAH,"Miami, FL, USA",23 Apr 22
347,11.80,(0.6 ),Fritz Ekane,32,SWE,"Södertälje, SWE",19 Jun 22
350,11.81,(0.3 ),Alec Eiszele,34,AUS,"Hobart, AU-TA, AUS",18 Feb 22 - 20 Feb 22
350,11.81,(-0.8),Rin Masuhara,32,JPN,"Gifu, JPN",23 Sep 22 - 25 Sep 22
352,11.83,(-0.1 ),Luis Asprilla Asprilla,33,COL,"Bogotá, COL",20 Nov 22 - 27 Nov 22
352,11.83,(0.4 ),Alexander Loo,31,SIN,"Singapore, SIN",4 Jun 22 - 5 Jun 22
352,11.83,(0.4 ),Daryl Liew,31,SIN,"Singapore, SIN",4 Jun 22 - 5 Jun 22
355,11.85,(+0.9),Jeffrey Antemer,30,FRA,"Deuil LA Barre, FRA",29 Jun 22
356,11.86,(0.8),Sean Nguyen,31,USA,"Claremont, CA, USA",2 Jul 22
356,11.86,(NWI),Daniel Villareal Z,30,MEX,"Mérida, MEX",4 May 22 - 8 May 22
358,11.87,(-0.2),Kevin Gostymen,33,FRA,"Bretigny Sur Orge, FRA",23 Jun 22
359,11.88,(+2.4),Nicolas Goncalves,31,FRA,"Amiens, FRA",2 Jul 22 - 3 Jul 22
359,11.88,(1.7 ),Gulsher Singh,30,AUS,"Gold Coast, AU-QL, AUS",5 Nov 22 - 7 Nov 22
361,11.89,(+1.2),Faddy Omar,32,CAN,"Boulder, CO, USA",13 Aug 22 - 14 Aug 22
361,11.89,(+0.2),Hermann-Davy Samnick,32,FRA,"Nogent Sur Marne, FRA",23 Jun 22
361,11.89,(-0.1),Jean-Antoine Marcaggi,31,FRA,"Ajaccio, FRA",15 May 22
364,11.90,(+2.8),Acindyne Houinato,31,BEN,"Coulaines, FRA",24 Jun 22
365,11.91,(-1.5),Dimitri Pavade,32,FRA,"Blagnac, FRA",8 May 22
365,11.91,(1.3 ),Peter Rubaduka,31,NZL,"Brisbane, AU-QL, AUS",29 Oct 22
367,11.92,(+1.1),Juan Carlos Montoro,33,ESP,"Málaga, ESP",4 Jun 22 - 5 Jun 22
367,11.92,(+2.0),Jonathan Ando,33,FRA,"Lomme, FRA",11 Jun 22 - 12 Jun 22
367,11.92,(+0.6),Paul-Andre Parent,31,FRA,"Pau, FRA",1 May 22
367,11.92,(1.8 ),Clinton McEwan,30,AUS,"Homebush, AU-NS, AUS",22 Oct 22
371,11.93,(-0.5),Dylan Joly,32,FRA,"Libourne, FRA",8 May 22
371,11.93,(1.1),Nicolas Le Paven,30,FRA,"Frauenfeld, SUI",14 May 22 - 15 May 22
371,11.93,(NWI),Alexander Mammone,30,AUS,"Clearview, AU-SA, AUS",5 Dec 22
374,11.94,(0.5 ),Luiz Eduardo Gomes Moreno,33,BRA,"Florianópolis, BRA",9 Sep 22 - 11 Sep 22
375,11.95,(-0.1 ),Romulo Alejandro Duarte V,30,MEX,"Bogotá, COL",20 Nov 22 - 27 Nov 22
376,11.96,"(+0,3)",Martin Hole Hanstvedt,34,NOR,"Osterøy, NOR",14 Sep 22
376,11.96,(+4.0),Victor Pascaud,32,FRA,"Grenoble, FRA",18 Jun 22
378,11.97,(+0.6),Christophe Sodano,31,FRA,"Thann, FRA",24 Jun 22
379,11.98,(1.4 ),Tim Rosen,33,AUS,"Albert Park, AU-VI, AUS",19 Mar 22 - 20 Mar 22
379,11.98,(-0.3),Thibaud Bertelli,33,FRA,"Le Plessis Robinson, FRA",5 Jun 22
379,11.98,(0.1),Troy Lloyd,31,USA,"Lexington, KY, USA",28 Jul 22 - 31 Jul 22
382,11.99,(-1.5),Jeremy Dauge,32,FRA,"Laval, FRA",11 Jun 22 - 12 Jun 22
382,11.99,"(–2,2)",Karim Jaiteh,31,FIN,"Kirkkonummi, FIN",17 May 22
382,11.99,(-0.4),Alvaro Cáceres,31,CHI,"Santiago, CHI",29 May 22
385,12.00,(+1.8),Dominique Tanasi,32,FRA,"Castres, FRA",8 Jun 22
386,12.01,(-0.3),Matteo Di Palma,34,ITA,"Napoli, ITA",14 Jul 22
386,12.01,(NWI),Giuseppe Mancuso,34,ITA,"Grosseto, ITA",10 Jun 22 - 12 Jun 22
386,12.01,(0.8 ),Masato Takeuchi,34,JPN,"Kariya, JPN",21 Aug 22
389,12.02,(+1.4),Julien Jonquois,34,FRA,"Marquette Lez Lille, FRA",6 Jul 22
389,12.02,(+2.1),Julien Heurtin,32,FRA,"Montfort Sur Meu, FRA",8 May 22
389,12.02,(-2.4 ),Pablo Peña Pezo,30,CHI,"Arica, CHI",25 Aug 22 - 27 Aug 22
392,12.03,(1.3 ),Florian Nicolle,34,FRA,"Caen, FRA",1 Jun 22
392,12.03,(-1.3),Sebastien Guillot,33,FRA,"Aix Les Bains, FRA",30 Apr 22
392,12.03,(0.8),Eric Galli,32,SUI,"Bern, SUI",4 Jun 22
392,12.03,(-0.7),Roland Fausch,30,SUI,"Bellinzona, SUI",24 Sep 22
396,12.04,(1.8 ),Matthew Reid,33,AUS,"Homebush, AU-NS, AUS",22 Oct 22
396,12.04,(+3.1),Elliott Poncet,31,FRA,"Remire Montjoly, FRA",12 Apr 22
396,12.04,(-0.2),Christian Karstensen,31,DEN,"Randers, DEN",8 Jun 22
396,12.04,(0.1),Aaron Dzinaku,31,SUI,"Tesserete, SUI",11 Jun 22
400,12.05,(-0.7),Quentin Ruiz,34,FRA,"Rodez, FRA",22 May 22
400,12.05,(0.9),Hugo Delottier,33,FRA,"Ibach, SUI",21 May 22
400,12.05,(-0.4),Craig Fairburn,32,AUS,"Sydney, AU-NS, AUS",30 Mar 22 - 3 Apr 22
403,12.07,(-0.3 ),Emmanuel Akpoviroro,34,CAN,"Surrey, BC, CAN",27 Aug 22 - 28 Aug 22
403,12.07,(-3.2 ),Sonny Ong,33,CAN,"Toronto, ON, CAN",6 Aug 22 - 7 Aug 22
403,12.07,(+0.1),Nicolas Vignolet,31,FRA,"Evreux, FRA",11 Jun 22
406,12.09,(+0.0),Julien de Oliveira,33,FRA,"Paris, FRA",8 Jun 22
406,12.09,( ),Marcus Brown,31,USA,"Taylors, SC, USA",25 Jun 22
408,12.10,(+2.8),Demitrez Butler,32,USA,"San Diego, CA, USA",20 Apr 22
408,12.10,(+0.5),Florian Matthias Rieker,32,GER,"Wetzlar, GER",11 Jun 22
410,12.11,(NWI),Terence Maxwell,34,USA,"Los Gatos, CA, USA",5 Feb 22
411,12.12,(0.3 ),Weiyi Lu,34,SIN,"Singapore, SIN",4 Jun 22 - 5 Jun 22
411,12.12,(+0.0),Udu Pascal Nnanna,33,RSA,"Parow, Cape Town, WC, RSA",12 Feb 22
411,12.12,(-0.1 ),Jonathan Jerez Rativa,33,COL,"Bogotá, COL",20 Nov 22 - 27 Nov 22
414,12.13,"(+0,9)",Samuli Alppiranta,34,FIN,"Tammela, FIN",11 Jun 22
415,12.14,(-1.2),Marino Mariano,34,ITA,"Avellino, ITA",14 May 22 - 15 May 22
415,12.14,(0.4 ),Lafiama Wright,32,SIN,"Singapore, SIN",4 Jun 22 - 5 Jun 22
415,12.14,(+1.7),Florent Gets,31,BEL,"Tielt, BEL",20 Aug 22 - 21 Aug 22
418,12.15,(+0.8),Pierre Benoist,31,FRA,"Beaupreau, FRA",4 Jun 22
419,12.16,(-0.1),Pershaun Wise Mathis,32,USA,"Landover, MD, USA",12 Jun 22
420,12.18,(-0.3 ),Sunny Gill,30,CAN,"Surrey, BC, CAN",27 Aug 22 - 28 Aug 22
421,12.19,(+1.1),Julien Cheuillot,31,FRA,"Dijon, FRA",26 Jun 22
422,12.21,(+0.0),Baptiste Scalabrino,34,FRA,"Besancon, FRA",28 May 22 - 29 May 22
422,12.21,(1.9 ),Ruco Henning,31,RSA,"Bloemfontein, FS, RSA",30 Sep 22 - 1 Oct 22
422,12.21,(-4.2 ),Azham Bin Osman,30,MAS,"Den Haag, NED",23 Jul 22 - 28 Jul 22
425,12.22,(-0.5),Bonny Ndungu,33,AUS,"Cannington, AU-WA, AUS",27 Feb 22 - 13 Mar 22
425,12.22,(-1.4 ),Pascal Gliesche,32,GER,"Mahlow, GER",2 Sep 22 - 5 Sep 22
425,12.22,(+2.0),Alexandre Feger,32,FRA,"Bordeaux, FRA",8 May 22
425,12.22,"(–0,1)",Ville Sirviö,30,FIN,"Joensuu, FIN",23 Jun 22
429,12.23,(+0.1),Philip Staib,31,DEN,"Haderslev, DEN",20 Sep 22
430,12.24,(NWI),Abner Sair Membreño Godinez,34,NCA,"San José, CRC",3 Nov 22 - 6 Nov 22
431,12.25,(-0.7),Thomas Hager,33,SUI,"Bellinzona, SUI",24 Sep 22
431,12.25,( ),Italo Leite de Camargo,30,BRA,"Bragança Paulista, BRA",5 Nov 22 - 6 Nov 22
433,12.26,(-1.4 ),Andre Möhl,30,GER,"Mahlow, GER",2 Sep 22 - 5 Sep 22
434,12.27,(+0.2),Tomasz Rysio,34,POL,"Sieradz, POL",12 Jun 22
434,12.27,(+1.7),Sophian Jayal,31,FRA,"Antony, FRA",28 May 22
436,12.28,(+1.1),Florent Beltram,31,FRA,"Villejuif, FRA",16 Apr 22 - 17 Apr 22
